name,lat,lng
Aix-en-Provence,43.5297,5.4474
Avignon,43.9493,4.8055
Marseille,43.2965,5.3698
Mont Saint-Michel,48.6361,-1.5115
Loire Valley,47.5680563,0.1345284
Rome,41.9028,12.4964
Siena,43.3188,11.3308
Florence,43.7696,11.2558
Milan,45.4642,9.19
Venice,45.4408,12.3155
Pisa,43.7228,10.4017
Cagliari,39.2163176,9.1142342
Alghero,40.5580531,8.3136803
San Pietro a Mare,40.9295128,8.8044959
The Vatican,41.902246,12.456016
Barcelona,41.3851,2.1734
Madrid,40.4168,-3.7038
Granada,37.1734995,-3.5995337
Córdoba,37.8804343,-4.7784921
Sevilla,37.3926323,-5.9985444
Madrid,40.4147882,-3.7067452
Rondaa,36.7461498,-5.1611482
Granollers,41.6061185,2.2854625
Roses,42.26297,3.1748
Blanes,41.67427,2.7921
Cadaques,42.2871458,3.2837249
Castello d'Empuries,42.1584305,2.9425204
Figueres,42.267502,2.96084
Sant Feliu de Guíxols,41.7812297,3.0306895
Sitges,41.2364765,1.8071488
Girona,41.9710537,2.8087866
Tarragona,41.118881,1.244491
Santes Creus,41.34712,1.36309
Siurana,41.2580509,0.9301405
Falset,41.1455986,0.8175205
Gratallops,41.1929273,0.7762284
Lleida,41.6191179,0.6183784
Vallbona de les Monges,41.525641,1.0876169
Montblanc,41.3743551,1.1615659
Valls,41.284862,1.2462684
Mont-rebei,42.0825308,0.682148
Solsona,41.9935049,1.515721
Castissent,42.1250865,0.7308124
Pamplona,42.8143521,-1.6471309
Donostia-San Sebastian,43.3224219,-1.9838889
Bilbao,43.2630018,-2.9350039
Suances,43.4307202,-4.0375128
Gijón,43.5437683,-5.6630768
Oviedo,43.3622024,-5.8523012
LLuarca,43.5449603,-6.5344611
Santa Gadea,43.552997,-6.9877161
Ribadeo,43.5339029,-7.0405306
Taramundi,43.3567156,-7.106235
Lugo,43.011038,-7.5565033
Santiago de Compostela,42.8799362,-8.5422342
Finisterra,42.8812719,-9.2716444
Los Abrigos,28.0305129,-16.5942557
Costa Adeje,28.0922037,-16.7339083
Montana Guama,28.2699284,-16.8269096
Puerto de la Cruz,28.410758,-16.5647119
La Laguna,28.4866804,-16.3165136
Santa Cruz de Tenerife,28.4633601,-16.2502511
Encamp,42.5347264,1.5804958
El Tarter,42.5796536,1.6518258
Athens,37.9838,23.7275
Aegina,37.7409,23.5014
Sydney,-33.8688,151.2093
Melbourne,-37.8136,144.9631
Byron Bay,-28.6474,153.602
Coles Bay,-42.0811,148.2332
Hobart,-42.8821,147.3272
Cairns,-16.9186,145.7781
Airlie Beach,-20.2675,148.7169
Nimbin,-28.5958,153.2231
Jervis Bay,-35.0481,150.7447
Blue Mountains,-33.41,150.3037
Christchurch,-43.5321,172.6362
Aoraki (Mount Cook),-43.595,170.1418
Wanaka,-44.7032,169.1321
Queenstown,-45.0312,168.6626
Te Anau,-45.4145,167.7181
Hobbiton,-37.8723,175.6834
Aukland,-36.8485,174.7633
Waitomo Caves,-38.2615,175.1145
Istanbul,41.0076514,28.9767881
Antalya,36.8851549,30.7049699
Olympos,36.391102,30.4688805
Kaş,36.1933921,29.5939342
Butterfly Valley,36.4973114,29.1271497
Fethiye,36.6217857,29.1085011
Tel Aviv,32.0853,34.7818
Golan Heights,33.14939,35.583166
Jerusalem,31.7683,35.2137
Be'er Sheva,31.253,34.7915
Dead Sea,31.559,35.4732
Masada,31.3158,35.3556
Beijing,39.9042,116.4074
Qingdao,36.0671,120.3826
Suzhou,31.299,120.5853
Shanghai,31.2304,121.4737
Xi An,34.3416,108.9398
Hong Kong,22.3964,114.1095
Seoul,37.5665,126.978
Kuta,-8.7224,115.1767
Canggu,-8.6478,115.1385
Uluwatu,-8.8291,115.0849
Ubud,-8.5069,115.2625
Gili Trawangan,-8.3483,116.0384
Komodo,-8.585,119.4411
Rinca,-8.7329,119.6615
Padar,-8.649,119.5833
Labuan Bajo,-8.4538,119.8728
Bajawa,-8.8033,120.9647
Riung,-8.4856,121.0564
Kelimutu,-8.7689,121.8221
Maumere,-8.6246,122.2147
Kupang,-10.1772,123.607
Surabaya,-7.2575,112.7521
Yogyakarta,-7.7956,110.3695
Probolinggo,-7.7764,113.2037
Ijen,-8.0584,114.2433
Yangon,16.8661,96.1951
Bagan,21.1717,94.8585
Shwenyaung,20.7644,96.941
Luang Prabang,20.0656,102.6216
Nong Khiaw,20.571,102.6116
Vang Vieng,18.9501,102.4438
Vientiane,17.9757,102.6331
Phonsavan,19.4521,103.1856
Thakhek,17.403,104.8338
Thalang,17.844515,105.05316
Kong Lor,17.959,104.7549
Bangkok,13.7563,100.5018
Sukhothai,17.0056,99.8264
Chiang Mai,18.7061,98.9817
Pai,19.3582,98.4405
Phnom Penh,11.5564,104.9282
Siem Reap,13.355,103.8552
Koh Rong,10.7291,103.2317
Singapore,1.3521,103.8198
Ho Chi Minh City,10.8231,106.6297
Hoi An,15.8801,108.338
Phong Nha,17.5908,106.2834
Sa Pa,22.3364,103.8438
Ha Long Bay,20.857795,107.07901
Hanoi,21.0278,105.8342
Cartagena,10.420719,-75.545398
Santa Marta,11.243569,-74.211394
Minca,11.141788,-74.115481
Palomino,11.248897,-73.559257
Calabazo,11.284739,-73.990637
Barranquilla,11.01657,-74.821064
Medellin,6.24978,-75.587447
Jardin,5.59283,-75.815834
Salento,4.637274,-75.569813
Bogota,4.59714,-74.069691
